seller_id,category_en,customer_state,n,avg_price,avg_freight,avg_total,median_days,neg_rate
0249d282d911d23cb8b869ab49c99f53,sports_leisure,SP,6,38.75,11.67,50.42,5.33,33.33
024b564ae893ce8e9bfa02c10a401ece,market_place,MA,1,77.9,26.3,104.2,21.03,0.0
024b564ae893ce8e9bfa02c10a401ece,musical_instruments,PA,1,119.5,27.1,146.6,9.64,0.0
02b72cdeb9cfcc429f1af6f4e3f3b737,baby,CE,1,129.0,69.05,198.05,17.34,0.0
02b72cdeb9cfcc429f1af6f4e3f3b737,baby,ES,2,129.07,44.7,173.78,8.89,0.0
02b72cdeb9cfcc429f1af6f4e3f3b737,baby,RS,1,135.5,67.54,203.04,14.91,0.0
02c988090b766852e088c69d7fb3b551,fashion_shoes,DF,1,169.99,17.44,187.43,12.18,0.0
02c988090b766852e088c69d7fb3b551,fashion_shoes,RJ,1,175.9,19.0,194.9,21.59,0.0
02c988090b766852e088c69d7fb3b551,fashion_shoes,SC,1,180.9,18.85,199.75,16.35,0.0
02c988090b766852e088c69d7fb3b551,fashion_shoes,SP,1,119.4,12.04,131.44,4.19,0.0
02c988090b766852e088c69d7fb3b551,signaling_and_security,PR,1,37.79,14.1,51.89,17.01,100.0
02c988090b766852e088c69d7fb3b551,signaling_and_security,RJ,1,180.9,19.07,199.97,11.61,0.0
02c988090b766852e088c69d7fb3b551,signaling_and_security,SP,6,110.25,11.62,121.87,5.17,0.0
02d35243ea2e497335cd0f076b45675d,furniture_decor,BA,3,245.67,34.33,280.0,22.08,33.33
02d35243ea2e497335cd0f076b45675d,furniture_decor,CE,2,269.0,19.14,288.14,34.21,50.0
02d35243ea2e497335cd0f076b45675d,furniture_decor,PA,1,249.0,26.29,275.29,26.41,0.0
02d35243ea2e497335cd0f076b45675d,furniture_decor,PB,1,259.0,44.46,303.46,15.0,100.0
02d35243ea2e497335cd0f076b45675d,furniture_decor,PR,3,799.0,58.95,857.95,23.96,33.33
02d35243ea2e497335cd0f076b45675d,furniture_decor,RJ,1,249.0,31.27,280.27,31.99,100.0
02d35243ea2e497335cd0f076b45675d,furniture_decor,RS,2,289.0,39.66,328.66,32.63,50.0
02d35243ea2e497335cd0f076b45675d,furniture_decor,SC,1,249.0,48.27,297.27,21.91,0.0
02dcd3e8e25bee036e32512bcf175493,stationery,AP,1,95.0,39.99,134.99,18.75,0.0
02dcd3e8e25bee036e32512bcf175493,stationery,BA,1,99.0,27.42,126.42,31.35,100.0
02dcd3e8e25bee036e32512bcf175493,stationery,MG,4,102.22,15.48,117.71,11.95,0.0
02dcd3e8e25bee036e32512bcf175493,stationery,RJ,5,75.0,16.42,91.42,9.39,40.0
02dcd3e8e25bee036e32512bcf175493,stationery,SP,2,97.0,19.06,116.06,15.65,0.0
02ecc2a19303f05e59ce133fd923fff7,furniture_decor,PR,1,129.2,18.15,147.35,13.11,0.0
02ecc2a19303f05e59ce133fd923fff7,furniture_decor,RJ,1,349.0,23.52,372.52,21.03,0.0
02ecc2a19303f05e59ce133fd923fff7,furniture_decor,RO,1,149.0,43.45,192.45,22.08,0.0
02ecc2a19303f05e59ce133fd923fff7,furniture_decor,SP,2,166.39,13.9,180.3,6.54,0.0
