seller_state,customer_state,n,mean_days,median_days,p90_days,pct_in_10d
PI,MG,2,14.92,14.92,15.77,0.0
PI,PB,1,12.49,12.49,12.49,0.0
PI,PE,1,23.61,23.61,23.61,0.0
PI,PI,1,2.03,2.03,2.03,100.0
PI,PR,1,12.5,12.5,12.5,0.0
PI,SC,1,25.59,25.59,25.59,0.0
PI,SP,2,13.38,13.38,17.22,50.0
PR,AC,1,23.87,23.87,23.87,0.0
PR,AL,36,29.25,26.46,48.28,0.0
PR,AM,11,24.76,26.0,30.83,0.0
PR,AP,2,21.41,21.41,23.56,0.0
